price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,year_sold,month_sold,day_sold,house_age,was_renovated,years_since_update,log_price,xgb_pred_log,price_pred_xgb,alpha,residual_log,id
268643,4,2.25,1810,9240,2.0,0,0,3,7,1810,0,98055,47.4362,-122.187,1660,9240,2015,5,5,64,0,64,12.501142362015882,12.583847999572754,291806.02794229554,0.9206218318873248,-0.0827056375568719,9117000170
245000,3,2.5,1600,2788,2.0,0,0,4,7,1600,0,98031,47.4034,-122.187,1720,3605,2014,7,8,33,0,33,12.409017571151187,12.362736701965332,233919.5254835733,1.0473687456979934,0.0462808691858551,6700390210
200000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,98003,47.2704,-122.313,1870,7455,2015,1,15,31,0,31,12.206077645517674,12.574155807495115,288991.4399746424,0.6920620209980926,-0.3680781619774436,7212660540
352499,2,2.25,1240,705,2.0,0,0,3,7,1150,90,98027,47.5321,-122.073,1240,750,2015,4,27,16,0,16,12.77280590123446,12.802095413208008,362976.2405993654,0.971135188953236,-0.0292895119735465,8562780200
232000,3,2.0,1280,13356,1.0,0,0,3,7,1280,0,98042,47.3715,-122.074,1590,8071,2014,12,5,31,0,31,12.354496960983983,12.432084083557127,250717.00075848776,0.9253461045646538,-0.0775871225731439,7760400350
722500,4,3.5,2600,5100,2.0,0,0,3,8,1820,780,98117,47.6948,-122.395,2000,6720,2014,9,18,22,0,22,13.490474083050811,13.38843059539795,652410.3816537051,1.1074317949518742,0.1020434876528622,464001025
299995,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,98155,47.7463,-122.315,1850,8291,2014,6,23,74,0,74,12.611524420216115,12.570951461791992,288066.8903707425,1.041407430107313,0.0405729584241232,3432500486
880000,3,2.0,2130,35169,1.0,0,0,4,8,2130,0,98072,47.7489,-122.123,2860,43560,2014,5,26,36,0,36,13.68767832281738,13.262979507446287,575490.3677386653,1.529130719351353,0.4246988153710909,1126059095
175000,3,1.0,1070,6164,1.0,0,0,3,7,1070,0,98001,47.3377,-122.291,1320,7920,2015,3,5,58,0,58,12.07254696717504,12.146842956542969,188497.0529318724,0.928396477706468,-0.0742959893679291,3876500290
320000,3,2.25,998,844,2.0,0,0,3,7,798,200,98117,47.6983,-122.367,998,1110,2014,5,22,18,0,18,12.676079399771028,12.595160484313965,295125.83271014574,1.0842832599960306,0.0809189154570617,1865400075
